Dice1,Dice2,IoU1,IoU2
0.7633587718009949,1.0,0.6172839403152466,1.0
0.9023569226264954,1.0,0.8220859169960022,1.0
0.9322034120559692,1.0,0.8730158805847168,1.0
0.9290322661399841,1.0,0.8674699068069458,1.0
0.9516339898109436,1.0,0.9077306985855103,1.0
0.9500554800033569,1.0,0.9048625826835632,1.0
0.9605262875556946,1.0,0.9240506291389465,1.0
0.9550466537475586,1.0,0.9139610528945923,1.0
0.9476876258850098,1.0,0.9005763530731201,1.0
0.9511705636978149,1.0,0.9068877696990967,1.0
0.948225736618042,1.0,0.9015486836433411,1.0
0.9760956168174744,1.0,0.9533073902130127,1.0
0.9649667143821716,1.0,0.9323050379753113,1.0
0.967391312122345,1.0,0.9368420839309692,1.0
0.9645988941192627,1.0,0.9316185712814331,1.0
0.9696969985961914,1.0,0.9411764740943909,1.0
0.9649805426597595,1.0,0.932330846786499,1.0
0.9813986420631409,1.0,0.9634766578674316,1.0
0.9789658188819885,1.0,0.9587982892990112,1.0
0.978247344493866,1.0,0.9574209451675415,1.0
0.9756097793579102,1.0,0.9523809552192688,1.0
0.9846153855323792,1.0,0.9696969985961914,1.0
0.9772393703460693,1.0,0.9554917216300964,1.0
0.9714587926864624,1.0,0.944501519203186,1.0
0.9755108952522278,1.0,0.9521925449371338,1.0
0.9708641767501831,1.0,0.9433780908584595,1.0
0.9780998826026917,1.0,0.9571384787559509,1.0
0.9770946502685547,1.0,0.9552150964736938,1.0
0.9734974503517151,0.0,0.9483634233474731,0.0
0.9778149724006653,0.0,0.9565929770469666,0.0
0.9648390412330627,0.0,0.9320666193962097,0.0
0.9670017957687378,0.0,0.9361118078231812,0.0
0.9598723649978638,0.0,0.92284095287323,0.0
0.9624630212783813,0.0,0.9276421070098877,0.0
0.9570127725601196,0.0,0.9175690412521362,0.0
0.9576590657234192,1.0,0.918757975101471,1.0
0.9710322022438049,1.0,0.9436954855918884,1.0
0.9753419160842896,1.0,0.9518706798553467,1.0
0.9748873114585876,1.0,0.9510050415992737,1.0
0.974791407585144,1.0,0.9508225321769714,1.0
0.975530207157135,1.0,0.9522293210029602,1.0
0.9760892987251282,1.0,0.9532953500747681,1.0
0.9759858846664429,1.0,0.9530980587005615,1.0
0.9787827134132385,1.0,0.9584470987319946,1.0
0.9723296165466309,1.0,0.9461492896080017,1.0
0.9719486832618713,1.0,0.9454281330108643,1.0
0.967207133769989,1.0,0.9364967346191406,1.0
0.971097469329834,1.0,0.9438186883926392,1.0
0.9679994583129883,1.0,0.9379834532737732,1.0
0.9672672152519226,1.0,0.9366093873977661,1.0
0.9630520343780518,1.0,0.9287371039390564,1.0
0.9579266905784607,1.0,0.9192507266998291,1.0
0.9666600823402405,1.0,0.9354715347290039,1.0
0.9699683785438538,1.0,0.9416880011558533,1.0
0.9677887558937073,1.0,0.9375879168510437,1.0
0.953447699546814,1.0,0.9110368490219116,1.0
0.9395544528961182,1.0,0.8859997391700745,1.0
0.9479139447212219,1.0,0.9009852409362793,1.0
0.9412220120429993,1.0,0.888970136642456,1.0
0.9315579533576965,1.0,0.8718844056129456,1.0
0.9419405460357666,1.0,0.890252947807312,1.0
0.9173843860626221,1.0,0.8473777174949646,1.0
0.9283599853515625,1.0,0.8662983179092407,1.0
0.9398636817932129,1.0,0.8865498304367065,1.0
0.9296401143074036,1.0,0.8685303926467896,1.0
0.9187436699867249,1.0,0.8497001528739929,1.0
0.9308826327323914,1.0,0.8707020282745361,1.0
0.9288228154182434,1.0,0.867104709148407,1.0
0.9226888418197632,1.0,0.8564738035202026,1.0
0.9481621384620667,1.0,0.9014337062835693,1.0
0.9557089805603027,1.0,0.9151749610900879,1.0
0.9476604461669922,1.0,0.9005272388458252,1.0
0.9320430755615234,1.0,0.8727346658706665,1.0
0.9604578614234924,1.0,0.923923909664154,1.0
0.9444037079811096,1.0,0.8946636915206909,1.0
0.8838122487068176,1.0,0.7918132543563843,1.0
0.8905079364776611,1.0,0.8026266694068909,1.0
0.9353427290916443,1.0,0.8785387873649597,1.0
0.9534367918968201,1.0,0.9110169410705566,1.0
0.9560509324073792,1.0,0.9158022999763489,1.0
0.9476520419120789,1.0,0.9005120992660522,1.0
0.9419729113578796,1.0,0.8903107643127441,1.0
0.888732373714447,1.0,0.7997465133666992,1.0
0.9242590665817261,1.0,0.859183669090271,1.0
0.1388888955116272,1.0,0.0746268630027771,1.0
0.0,1.0,0.0,1.0
0.8205128312110901,1.0,0.6956521272659302,1.0
0.9247311949729919,1.0,0.8600000143051147,1.0
0.9333333373069763,1.0,0.875,1.0
0.9333333373069763,1.0,0.875,1.0
0.9298893213272095,1.0,0.8689655065536499,1.0
0.9593023061752319,1.0,0.9217877388000488,1.0
0.40287768840789795,1.0,0.2522522509098053,1.0
0.4349442422389984,1.0,0.2779097259044647,1.0
0.516370415687561,1.0,0.3480454087257385,1.0
0.6184340715408325,1.0,0.44763270020484924,1.0
0.5630743503570557,1.0,0.3918604552745819,1.0
0.9635220170021057,1.0,0.9296116232872009,1.0
0.981256902217865,1.0,0.963203489780426,1.0
0.9805924296379089,1.0,0.9619238376617432,1.0
0.9737827777862549,1.0,0.9489051103591919,1.0
0.9844290614128113,1.0,0.9693356156349182,1.0
0.9833992123603821,1.0,0.9673405885696411,1.0
0.9434502720832825,1.0,0.8929539322853088,1.0
0.9801234006881714,1.0,0.9610214829444885,1.0
0.9868766665458679,1.0,0.9740932583808899,1.0
0.9803680777549744,1.0,0.9614921808242798,1.0
0.9864785671234131,1.0,0.9733178615570068,1.0
0.9927737712860107,1.0,0.9856511950492859,1.0
0.9884817004203796,1.0,0.977225661277771,1.0
0.9874435067176819,1.0,0.9751983880996704,1.0
0.9838095307350159,1.0,0.9681349396705627,1.0
0.9867398142814636,1.0,0.9738267064094543,1.0
0.9860262274742126,1.0,0.9724375605583191,1.0
0.9835927486419678,1.0,0.9677152037620544,1.0
0.9887459874153137,1.0,0.9777424335479736,1.0
0.9906759858131409,1.0,0.9815242290496826,1.0
0.9876543283462524,1.0,0.9756097793579102,1.0
0.986211895942688,1.0,0.9727988839149475,1.0
0.9862433671951294,1.0,0.9728600978851318,1.0
0.9914994835853577,1.0,0.9831422567367554,1.0
0.99040687084198,1.0,0.9809960722923279,1.0
0.9894669651985168,1.0,0.9791535139083862,1.0
0.9844912886619568,1.0,0.9694563150405884,1.0
0.9864742755889893,1.0,0.9733096361160278,1.0
0.9887705445289612,1.0,0.9777904152870178,1.0
0.9883397817611694,1.0,0.9769483804702759,1.0
0.9881656765937805,0.0,0.9766082167625427,0.0
0.9798515439033508,0.04444444552063942,0.9604989886283875,0.022727273404598236
0.9803617596626282,0.5194805264472961,0.9614799618721008,0.35087719559669495
0.9841189980506897,0.800000011920929,0.9687345027923584,0.6666666865348816
0.9801713824272156,0.7777777910232544,0.9611137509346008,0.6363636255264282
0.9783965349197388,0.7167630195617676,0.9577067494392395,0.5585585832595825
0.9769606590270996,0.7035176157951355,0.9549590349197388,0.5426356792449951
0.9715575575828552,0.7510548233985901,0.9446883201599121,0.6013513803482056
0.9714159965515137,0.7674418687820435,0.9444206953048706,0.6226415038108826
0.9711229801177979,0.8724831938743591,0.9438669681549072,0.773809552192688
0.9661052227020264,0.8634920716285706,0.9344328045845032,0.7597765326499939
0.9587878584861755,0.8647058606147766,0.9208381772041321,0.7616580128669739
0.9556937217712402,0.783715009689331,0.9151470065116882,0.6443514823913574
0.9647585153579712,0.7684478163719177,0.9319164156913757,0.6239669322967529
0.9691503047943115,0.7673267126083374,0.9401469826698303,0.6224899888038635
0.9690829515457153,0.8009592294692993,0.9400203227996826,0.6679999828338623
0.9672690033912659,0.8118393421173096,0.9366127252578735,0.6832740306854248
0.9713905453681946,0.8471074104309082,0.9443725943565369,0.7347670197486877
0.9708326458930969,0.8588007688522339,0.9433185458183289,0.7525423765182495
0.9727489948272705,0.8952381014823914,0.9469438195228577,0.8103448152542114
0.9746444225311279,0.891566276550293,0.9505428075790405,0.804347813129425
0.9784476161003113,0.9094650149345398,0.9578046798706055,0.8339622616767883
0.9740659594535828,0.8939709067344666,0.9494430422782898,0.8082706928253174
0.9734110832214355,0.852320671081543,0.948199450969696,0.7426470518112183
0.970740556716919,0.8368521928787231,0.9431447386741638,0.7194719314575195
0.9719317555427551,0.8272251486778259,0.9453961253166199,0.7053571343421936
0.9726746678352356,0.8247078657150269,0.9468029141426086,0.7017045617103577
0.9753915071487427,0.8384991884231567,0.9519650936126709,0.7219101190567017
